ligand	receptor	sources	references	databases	n_databases
BMP15	BMPR1B	PMID:1218020110;PMID:22710174;PMID:12419820	PMID:1218020110;PMID:22710174;PMID:12419820	CellPhoneDB	1
BMP15	BMPR2	PMID:1218020110;PMID:22710174;PMID:12419820	PMID:1218020110;PMID:22710174;PMID:12419820	CellPhoneDB	1
BMP2	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP2	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP2	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP2	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP2	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP4	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP4	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP4	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP4	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP4	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	ACVR1	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP5	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	ACVR1	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP6	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	ACVR1	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP7	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	ACVR1	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	ACVR2A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	ACVR2B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	BMPR1A	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	BMPR1B	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMP8A	BMPR2	PMID:22710174	PMID:22710174	CellPhoneDB	1
BMPR1B	BMPR1A	3evs;_PDB_complex_higher_affinity		CellPhoneDB	1
BMPR2	BMPR1A	3evs;_PDB_complex_higher_affinity		CellPhoneDB	1
BST2	LILRA4	PMID:19564354	PMID:19564354	CellPhoneDB	1
BTC	EGFR	uniprot		CellPhoneDB	1
BTC	ERBB3	uniprot		CellPhoneDB	1
BTC	ERBB4	uniprot		CellPhoneDB	1
BTLA	TNFRSF14	PMID:31204070;uniprot	PMID:31204070;uniprot	CellPhoneDB	1
C10ORF99	GPR15	uniprot		CellPhoneDB	1
C10ORF99	SUSD2	uniprot		CellPhoneDB	1
C1QL1	ADGRB3	uniprot;reactome;IUPHAR		CellPhoneDB	1
C1QL2	ADGRB3	uniprot;reactome;IUPHAR		CellPhoneDB	1
C1QL3	ADGRB3	uniprot;reactome;IUPHAR		CellPhoneDB	1
C1QL4	ADGRB3	uniprot;reactome;IUPHAR		CellPhoneDB	1
C3	C3AR1	uniprot;reactome		CellPhoneDB	1
C3	C5AR2	uniprot		CellPhoneDB	1
C3	ITGAM	uniprot		CellPhoneDB	1
C3	ITGB2	uniprot		CellPhoneDB	1
C4A	C5AR2	uniprot		CellPhoneDB	1
C5	C5AR1	uniprot		CellPhoneDB	1
C5	C5AR2	uniprot		CellPhoneDB	1
CADM1	NECTIN3	uniprot		CellPhoneDB	1
CADM3	CADM1	uniprot		CellPhoneDB	1
CADM3	CADM4	uniprot		CellPhoneDB	1
CADM3	EPB41L1	uniprot		CellPhoneDB	1
CADM3	NECTIN3	uniprot		CellPhoneDB	1
CALCA	CALCR	uniprot;HMRbase;PMID:7476993		CellPhoneDB	1
CALCA	CALCRL	uniprot		CellPhoneDB	1
CALCA	RAMP1	uniprot		CellPhoneDB	1
CALCB	CALCR	GPCRdb (https://gpcrdb.org/ligand/endogenousbrowser/)		CellPhoneDB	1
CALCB	CALCRL	uniprot		CellPhoneDB	1
CALCB	RAMP1	uniprot		CellPhoneDB	1
CBLN1	GRID2	uniprot;reactome;IUPHAR		CellPhoneDB	1
