ligand	receptor	sources	references	databases	n_databases
CLSTN3	NRXN1	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN3	NRXN2	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLSTN3	NRXN3	PMID:29100073	PMID:29100073	CellPhoneDB	1
CLU	TREM2	uniprot;PMID:27477014		CellPhoneDB	1
CLU	TYROBP	uniprot;PMID:27477014		CellPhoneDB	1
CNTF	CNTFR	uniprot		CellPhoneDB	1
CNTF	IL6ST	uniprot		CellPhoneDB	1
CNTF	LIFR	uniprot		CellPhoneDB	1
CNTN1	MCAM	Shilts screen - VALIDATED		CellPhoneDB	1
CNTN1	NOTCH1	uniprot;PMID:14567914		CellPhoneDB	1
CNTN1	NOTCH2	reactome;PMID:14567914		CellPhoneDB	1
CNTN1	NRCAM	Shilts screen - VALIDATED		CellPhoneDB	1
COL10A1	ITGA1	uniprot		CellPhoneDB	1
COL10A1	ITGA10	uniprot		CellPhoneDB	1
COL10A1	ITGA11	uniprot		CellPhoneDB	1
COL10A1	ITGA2	uniprot		CellPhoneDB	1
COL10A1	ITGB1	uniprot		CellPhoneDB	1
COL11A1	ITGA1	uniprot		CellPhoneDB	1
COL11A1	ITGA10	uniprot		CellPhoneDB	1
COL11A1	ITGA11	uniprot		CellPhoneDB	1
COL11A1	ITGA2	uniprot		CellPhoneDB	1
COL11A1	ITGB1	uniprot		CellPhoneDB	1
COL11A2	ITGA1	uniprot		CellPhoneDB	1
COL11A2	ITGA10	uniprot		CellPhoneDB	1
COL11A2	ITGA11	uniprot		CellPhoneDB	1
COL11A2	ITGA2	uniprot		CellPhoneDB	1
COL11A2	ITGB1	uniprot		CellPhoneDB	1
COL12A1	ITGA1	uniprot		CellPhoneDB	1
COL12A1	ITGA10	uniprot		CellPhoneDB	1
COL12A1	ITGA11	uniprot		CellPhoneDB	1
COL12A1	ITGA2	uniprot		CellPhoneDB	1
COL12A1	ITGB1	uniprot		CellPhoneDB	1
COL13A1	ITGA1	uniprot		CellPhoneDB	1
COL13A1	ITGA10	uniprot		CellPhoneDB	1
COL13A1	ITGA11	uniprot		CellPhoneDB	1
COL13A1	ITGA2	uniprot		CellPhoneDB	1
COL13A1	ITGB1	uniprot		CellPhoneDB	1
COL14A1	ITGA1	uniprot		CellPhoneDB	1
COL14A1	ITGA10	uniprot		CellPhoneDB	1
COL14A1	ITGA11	uniprot		CellPhoneDB	1
COL14A1	ITGA2	uniprot		CellPhoneDB	1
COL14A1	ITGB1	uniprot		CellPhoneDB	1
COL15A1	ITGA1	uniprot		CellPhoneDB	1
COL15A1	ITGA10	uniprot		CellPhoneDB	1
COL15A1	ITGA11	uniprot		CellPhoneDB	1
COL15A1	ITGA2	uniprot		CellPhoneDB	1
COL15A1	ITGB1	uniprot		CellPhoneDB	1
COL16A1	ITGA1	uniprot		CellPhoneDB	1
COL16A1	ITGA10	uniprot		CellPhoneDB	1
