source_genesymbol	target_genesymbol	references	sources
SP1	DHCR24	22431021	TRRUST_from_CollecTRI
SP1	ELF4	15907486	TRRUST_from_CollecTRI
SP1	FBP1	11023824	TRRUST_from_CollecTRI
SP1	FGFR3	22334592	TRRUST_from_CollecTRI
SP1	GH2	1427648	TRRUST_from_CollecTRI
SP1	GM2A	10987359	TRRUST_from_CollecTRI
SP1	GSPT1	22580340	TRRUST_from_CollecTRI
SP1	HCN2	19471099	TRRUST_from_CollecTRI
SP1	HCN4	19471099	TRRUST_from_CollecTRI
SP1	HDAC4	16280357	TRRUST_from_CollecTRI
SP1	HLA-G	11137218	TRRUST_from_CollecTRI
SP1	HOXB7	12697323	TRRUST_from_CollecTRI
SP1	HSD17B1	9231796	TRRUST_from_CollecTRI
SP1	HTR1A	8626793	TRRUST_from_CollecTRI
SP1	HYAL1	18718911	TRRUST_from_CollecTRI
SP1	ID4	9516472	TRRUST_from_CollecTRI
SP1	IL2RB	9199305	TRRUST_from_CollecTRI
SP1	IMPDH2	7896827	TRRUST_from_CollecTRI
SP1	IRF5	20127100	TRRUST_from_CollecTRI
SP1	ISG20	10871365	TRRUST_from_CollecTRI
SP1	KRT19	10859317	TRRUST_from_CollecTRI
SP1	KRT5	12024040	TRRUST_from_CollecTRI
SP1	LSP1	9257843	TRRUST_from_CollecTRI
SP1	MAT2B	11337507	TRRUST_from_CollecTRI
SP1	MCTS1	12938157	TRRUST_from_CollecTRI
SP1	MME	14510963	TRRUST_from_CollecTRI
SP1	MMRN1	15631312	TRRUST_from_CollecTRI
SP1	MNDA	8809111	TRRUST_from_CollecTRI
SP1	MPG	10563836	TRRUST_from_CollecTRI
SP1	MTA1	21555589	TRRUST_from_CollecTRI
SP1	MUC6	15979574	TRRUST_from_CollecTRI
SP1	NDUFV1	17786189	TRRUST_from_CollecTRI
SP1	NFKB2	7541912	TRRUST_from_CollecTRI
SP1	NOS1	12237165	TRRUST_from_CollecTRI
SP1	NR4A1	8961265	TRRUST_from_CollecTRI
SP1	P4HA1	21829524	TRRUST_from_CollecTRI
SP1	PDE6A	9770645	TRRUST_from_CollecTRI
SP1	PDE6B	11438531	TRRUST_from_CollecTRI
SP1	PDHA1	8476854	TRRUST_from_CollecTRI
SP1	PDIA2	8503862	TRRUST_from_CollecTRI
SP1	PELO	17669516	TRRUST_from_CollecTRI
SP1	PLAA	18291623	TRRUST_from_CollecTRI
SP1	POLD2	10978529	TRRUST_from_CollecTRI
SP1	POLE2	11433027	TRRUST_from_CollecTRI
SP1	PPL	19583808	TRRUST_from_CollecTRI
SP1	PRM1	18721868	TRRUST_from_CollecTRI
SP1	RECQL4	10552928;15674334	TRRUST_from_CollecTRI
SP1	RORA	14742449	TRRUST_from_CollecTRI
SP1	SCNN1B	11934701	TRRUST_from_CollecTRI
SP1	SGPL1	21184844	TRRUST_from_CollecTRI
SP1	SLC25A20	21130740	TRRUST_from_CollecTRI
SP1	SLC39A8	18556457	TRRUST_from_CollecTRI
SP1	SLC7A5	17023546	TRRUST_from_CollecTRI
SP1	SNAPC1	9644240	TRRUST_from_CollecTRI
SP1	ST6GAL1	10814704	TRRUST_from_CollecTRI
SP1	TF	8548503	TRRUST_from_CollecTRI
SP1	TFPI2	12446683	TRRUST_from_CollecTRI
SP1	TGM4	10580145	TRRUST_from_CollecTRI
SP1	TICAM1	14960149	TRRUST_from_CollecTRI
SP1	TK1	10502302;17192405	TRRUST_from_CollecTRI
SP1	TNFSF14	12215452	TRRUST_from_CollecTRI
SP1	TNNI3	10652194	TRRUST_from_CollecTRI
SP1	TYMP	17805539	TRRUST_from_CollecTRI
SP1	UGCG	15342415	TRRUST_from_CollecTRI
SP1	UGT2B15	20070244	TRRUST_from_CollecTRI
SP1	USP7	7642633	TRRUST_from_CollecTRI
SP1	WAS	10066431	TRRUST_from_CollecTRI
SP1	WRN	11896071	TRRUST_from_CollecTRI
SP1	YY1	22553354	TRRUST_from_CollecTRI
SP100	ETS1	15247905	TRRUST_from_CollecTRI
SP2	CD14	11698458	TRRUST_from_CollecTRI
SP2	DNMT3A	15362956	TRRUST_from_CollecTRI
SP2	DNMT3B	15362956	TRRUST_from_CollecTRI
SP2	HSD17B2	18270252	TRRUST_from_CollecTRI
SP3	ALOX12	9164849	TRRUST_from_CollecTRI
SP3	BPI	14623259	TRRUST_from_CollecTRI
SP3	CD14	11698458	TRRUST_from_CollecTRI
SP3	CD83	12182451	TRRUST_from_CollecTRI
SP3	CFTR	14766015;16877677	TRRUST_from_CollecTRI
SP3	CYP17A1	11463853	TRRUST_from_CollecTRI
SP3	CYP46A1	20930312	TRRUST_from_CollecTRI
SP3	ERBB2	22553354	TRRUST_from_CollecTRI
SP3	ETF1	14563555	TRRUST_from_CollecTRI
SP3	FBP1	11023824	TRRUST_from_CollecTRI
SP3	FGFR3	22334592	TRRUST_from_CollecTRI
SP3	HBEGF	22641673	TRRUST_from_CollecTRI
SP3	HDAC4	16280357	TRRUST_from_CollecTRI
SP3	HOXB7	12697323	TRRUST_from_CollecTRI
SP3	ID4	9516472	TRRUST_from_CollecTRI
SP3	MSH6	14585961	TRRUST_from_CollecTRI
SP3	MUC4	11418607	TRRUST_from_CollecTRI
SP3	MUC6	15979574	TRRUST_from_CollecTRI
SP3	NFKB1	20538607	TRRUST_from_CollecTRI
SP3	RASSF1	19450668	TRRUST_from_CollecTRI
SP3	RELA	20538607	TRRUST_from_CollecTRI
SP3	RORA	14742449	TRRUST_from_CollecTRI
SP3	SLC19A3	15217784	TRRUST_from_CollecTRI
SP3	SLC1A3	14713304	TRRUST_from_CollecTRI
SP3	TGM4	10580145	TRRUST_from_CollecTRI
SP3	TIMP2	10764764	TRRUST_from_CollecTRI
SP3	TYMP	17805539	TRRUST_from_CollecTRI
SP3	YY1	22553354	TRRUST_from_CollecTRI
SP4	ASS1	19934275	TRRUST_from_CollecTRI
SP4	BIRC5	22334592	TRRUST_from_CollecTRI
SP4	ERBB2	22553354	TRRUST_from_CollecTRI
SP4	FGFR3	22334592	TRRUST_from_CollecTRI
SP4	NFKB1	20538607	TRRUST_from_CollecTRI
SP4	PDE6B	11438531	TRRUST_from_CollecTRI
SP4	RELA	20538607	TRRUST_from_CollecTRI
SP4	YY1	22553354	TRRUST_from_CollecTRI
SPDEF	AGR2	19786015	TRRUST_from_CollecTRI
SPDEF	MUC2	19786015	TRRUST_from_CollecTRI
SPDEF	PLAUR	12907642	TRRUST_from_CollecTRI
SPDEF	SPINK4	19786015	TRRUST_from_CollecTRI
SPEN	DMPK	21637295	TRRUST_from_CollecTRI
SPI1	BPI	14623259	TRRUST_from_CollecTRI
SPI1	CD163	10725797	TRRUST_from_CollecTRI
SPI1	CD22	15892171	TRRUST_from_CollecTRI
SPI1	CSF2RA	7565736	TRRUST_from_CollecTRI
SPI1	ERAP2	15691326	TRRUST_from_CollecTRI
SPI1	IL5	19487701	TRRUST_from_CollecTRI
SPI1	MACROD1	19698236	TRRUST_from_CollecTRI
SPI1	MNDA	8809111	TRRUST_from_CollecTRI
SPI1	MS4A1	11226004;15892171;19769942	TRRUST_from_CollecTRI
SPI1	MSR1	7777517;8007948	TRRUST_from_CollecTRI
SPI1	NSFL1C	10542290	TRRUST_from_CollecTRI
SPI1	P2RY10	10567398	TRRUST_from_CollecTRI
SPI1	PEBP1	9334192	TRRUST_from_CollecTRI
SPI1	PRG2	12202480	TRRUST_from_CollecTRI
SPI1	SCARB1	8007948	TRRUST_from_CollecTRI
SPI1	SCARB2	8007948	TRRUST_from_CollecTRI
SPI1	STAT3	24429361	TRRUST_from_CollecTRI
SPI1	WAS	10066431	TRRUST_from_CollecTRI
SPIB	IRF7	22698399	TRRUST_from_CollecTRI
SRCAP	KLK3	20432434	TRRUST_from_CollecTRI
SRCAP	PCK2	11522779	TRRUST_from_CollecTRI
SREBF1	AR	18245227;20071336	TRRUST_from_CollecTRI
SREBF1	BCL2L1	16091421	TRRUST_from_CollecTRI
SREBF1	FAS	12531699;18420801;20173757;9300785	TRRUST_from_CollecTRI
SREBF1	THRSP	11448969;22672904	TRRUST_from_CollecTRI
SREBF2	ABCG5	21123766	TRRUST_from_CollecTRI
SREBF2	ABCG8	21123766	TRRUST_from_CollecTRI
SREBF2	FABP6	11684682	TRRUST_from_CollecTRI
SREBF2	FAS	9300785	TRRUST_from_CollecTRI
SREBF2	LIPC	15721010;22253973	TRRUST_from_CollecTRI
SRF	ACTA1	12760745;15623502;15933209;8423791;9571041	TRRUST_from_CollecTRI
SRF	CFTR	16170155	TRRUST_from_CollecTRI
SRF	CREB1	1531519	TRRUST_from_CollecTRI
SRF	FOSL1	15806162	TRRUST_from_CollecTRI
SRF	HMGXB4	20511232	TRRUST_from_CollecTRI
SRF	KPNA1	21131446	TRRUST_from_CollecTRI
SRF	KPNB1	21131446	TRRUST_from_CollecTRI
SRF	LMO7	21670154	TRRUST_from_CollecTRI
SRF	MMP14	12654640	TRRUST_from_CollecTRI
SRF	MMP2	12654640	TRRUST_from_CollecTRI
SRF	MYL9	19724058	TRRUST_from_CollecTRI
SRF	PLAU	15514113	TRRUST_from_CollecTRI
SRF	PLG	15514113	TRRUST_from_CollecTRI
SRF	PRRX1	18604245	TRRUST_from_CollecTRI
SRF	SAMD4A	16814806	TRRUST_from_CollecTRI
SRF	SMN2	15550677	TRRUST_from_CollecTRI
SRF	UBE2S	18780286	TRRUST_from_CollecTRI
SRY	PROM1	21947321	TRRUST_from_CollecTRI
STAT1	APP	19508864;9841227	TRRUST_from_CollecTRI
STAT1	CCL3	16628196	TRRUST_from_CollecTRI
STAT1	CCR1	16628196	TRRUST_from_CollecTRI
STAT1	CD22	12855573	TRRUST_from_CollecTRI
STAT1	CD40LG	12855573	TRRUST_from_CollecTRI
STAT1	CEBPE	16918696	TRRUST_from_CollecTRI
STAT1	CFTR	19061877	TRRUST_from_CollecTRI
STAT1	CHAT	12425940	TRRUST_from_CollecTRI
STAT1	CTSB	11556541	TRRUST_from_CollecTRI
STAT1	CTSL	11556541	TRRUST_from_CollecTRI
STAT1	EGFR	10558875;22693070	TRRUST_from_CollecTRI
STAT1	FGFR3	16410555	TRRUST_from_CollecTRI
STAT1	HMOX1	19129475	TRRUST_from_CollecTRI
STAT1	IL1R1	15972639;19122651	TRRUST_from_CollecTRI
STAT1	IL2RA	10068671;12244150	TRRUST_from_CollecTRI
STAT1	KRT17	21796151	TRRUST_from_CollecTRI
STAT1	NOX1	19834108	TRRUST_from_CollecTRI
STAT1	NOX4	19834108	TRRUST_from_CollecTRI
STAT1	NOX5	22348975	TRRUST_from_CollecTRI
STAT1	PIM1	10068671	TRRUST_from_CollecTRI
STAT1	PLSCR1	16260419;19122651	TRRUST_from_CollecTRI
STAT1	STAT2	16918696;19122651	TRRUST_from_CollecTRI
STAT2	STAT1	21498520	TRRUST_from_CollecTRI
STAT1	TIMP1	11918744;12846741	TRRUST_from_CollecTRI
STAT1	TLR3	16628196	TRRUST_from_CollecTRI
TP53	STAT1	12364590	TRRUST_from_CollecTRI
STAT1	TP53	14602726;24655378	TRRUST_from_CollecTRI
STAT1	VIP	11259431;12425940;17558387;7595475;7708062;7713908;9642274	TRRUST_from_CollecTRI
STAT2	PTGS2	12586443	TRRUST_from_CollecTRI
STAT2	RCAN1	22426484	TRRUST_from_CollecTRI
STAT2	SCARB2	17998316	TRRUST_from_CollecTRI
STAT3	ABCA1	19783654	TRRUST_from_CollecTRI
STAT3	AR	17374439;23906537	TRRUST_from_CollecTRI
STAT3	CCND3	15184887;16084951;18310224	TRRUST_from_CollecTRI
STAT3	CDH1	18320073;22205702	TRRUST_from_CollecTRI
STAT3	CDK4	22218594	TRRUST_from_CollecTRI
STAT3	CFB	22169226	TRRUST_from_CollecTRI
STAT3	CFLAR	18222423	TRRUST_from_CollecTRI
STAT3	CISH	14630083	TRRUST_from_CollecTRI
STAT3	CSRP1	18292576;8621622	TRRUST_from_CollecTRI
STAT3	CCN2	21245987	TRRUST_from_CollecTRI
STAT3	CCN1	22401280	TRRUST_from_CollecTRI
STAT3	DDIT3	23288901	TRRUST_from_CollecTRI
STAT3	EPAS1	23991099	TRRUST_from_CollecTRI
STAT3	F2R	23504318	TRRUST_from_CollecTRI
STAT3	FAS	15223310;16651438;22313388	TRRUST_from_CollecTRI
STAT3	FGF1	14673954	TRRUST_from_CollecTRI
STAT3	FGL1	19304666	TRRUST_from_CollecTRI
STAT3	FLT3	16418395	TRRUST_from_CollecTRI
STAT3	GAST	20568281;20949125	TRRUST_from_CollecTRI
STAT3	HMOX1	19129475;20568122	TRRUST_from_CollecTRI
STAT3	HSPB1	14715258;16527988	TRRUST_from_CollecTRI
STAT3	IFNAR1	18550668	TRRUST_from_CollecTRI
STAT3	IFNG	12759422;15522880;18616672;26170288	TRRUST_from_CollecTRI
STAT3	IL11	23224145	TRRUST_from_CollecTRI
STAT3	IL2	18550668	TRRUST_from_CollecTRI
STAT3	IL2RA	10068671;11368440;24159173	TRRUST_from_CollecTRI
STAT3	JAK2	17151100;19783654	TRRUST_from_CollecTRI
STAT3	LCAT	12032172	TRRUST_from_CollecTRI
STAT3	LTBP1	22814105	TRRUST_from_CollecTRI
STAT3	MDC1	20804538	TRRUST_from_CollecTRI
STAT3	MMP10	16205632	TRRUST_from_CollecTRI
STAT3	MUC5B	15485908	TRRUST_from_CollecTRI
STAT3	MYD88	12244150;7567467	TRRUST_from_CollecTRI
STAT3	NLK	15764709	TRRUST_from_CollecTRI
STAT3	NOX4	19834108	TRRUST_from_CollecTRI
STAT3	NOX5	22348975	TRRUST_from_CollecTRI
STAT3	NR2C2	15764709	TRRUST_from_CollecTRI
STAT3	OAS1	18550668	TRRUST_from_CollecTRI
STAT3	PAX3	19074888	TRRUST_from_CollecTRI
STAT3	PSMB5	24627483	TRRUST_from_CollecTRI
STAT3	S1PR1	21102457	TRRUST_from_CollecTRI
STAT3	SHH	22554932	TRRUST_from_CollecTRI
STAT3	STK11	24913037	TRRUST_from_CollecTRI
STAT3	STS	21331591	TRRUST_from_CollecTRI
STAT3	TNFRSF10B	19351839	TRRUST_from_CollecTRI
STAT3	TWIST2	17909010	TRRUST_from_CollecTRI
STAT3	UCP2	21344490	TRRUST_from_CollecTRI
STAT3	VDR	23424038	TRRUST_from_CollecTRI
STAT3	VEGFB	16899623;21731766	TRRUST_from_CollecTRI
STAT3	ZFP36	19542371;21606497;22865915	TRRUST_from_CollecTRI
STAT4	NOX1	19834108	TRRUST_from_CollecTRI
STAT4	NOX4	19834108	TRRUST_from_CollecTRI
STAT4	PIM1	10068671	TRRUST_from_CollecTRI
STAT4	SOCS3	14559241	TRRUST_from_CollecTRI
STAT5A	CEL	9841868	TRRUST_from_CollecTRI
STAT5A	SP1	17922009	TRRUST_from_CollecTRI
STAT5A	STK11	24913037	TRRUST_from_CollecTRI
STAT5A	SUMO1	22723377	TRRUST_from_CollecTRI
STAT5B	BCL6	15711548;16819511	TRRUST_from_CollecTRI
STAT5B	CEL	9841868	TRRUST_from_CollecTRI
STAT5B	ESR2	11731618	TRRUST_from_CollecTRI
STAT5B	IFNG	12759422;15528362	TRRUST_from_CollecTRI
STAT6	ADRA2B	15037199	TRRUST_from_CollecTRI
STAT6	ALOX12	10657944	TRRUST_from_CollecTRI
STAT6	CYP2E1	20723539	TRRUST_from_CollecTRI
STAT6	CYSLTR1	16210619	TRRUST_from_CollecTRI
STAT6	DUSP1	18342537	TRRUST_from_CollecTRI
STAT6	EGLN3	18342537	TRRUST_from_CollecTRI
STAT6	FOS	11922943;18342537	TRRUST_from_CollecTRI
STAT6	FOSB	18342537	TRRUST_from_CollecTRI
STAT6	IL1R1	8757327	TRRUST_from_CollecTRI
STAT6	IRF4	10601358	TRRUST_from_CollecTRI
STAT6	OPRM1	20828825	TRRUST_from_CollecTRI
STAT6	SIDT1	18342537	TRRUST_from_CollecTRI
SUPT3H	NEDD4L	8649367	TRRUST_from_CollecTRI
TAF1	LRIG2	22721266	TRRUST_from_CollecTRI
TAF1	SRC	14993269	TRRUST_from_CollecTRI
TAF4	ATF7	16205117	TRRUST_from_CollecTRI
TAF4	CDKN1A	17996705	TRRUST_from_CollecTRI
TAF5	CDKN1A	17996705	TRRUST_from_CollecTRI
TAL1	CD34	14715640	TRRUST_from_CollecTRI
TAL1	ERG	21536859	TRRUST_from_CollecTRI
TAL1	KRT7	20140202	TRRUST_from_CollecTRI
TAL1	MYCN	24334727	TRRUST_from_CollecTRI
TBL1X	MYC	20493879	TRRUST_from_CollecTRI
TBP	E2F1	9400991	TRRUST_from_CollecTRI
TBP	FUS	19841068	TRRUST_from_CollecTRI
TBP	IGFBP4	11058964	TRRUST_from_CollecTRI
TBP	IL6	9209275	TRRUST_from_CollecTRI
TBP	PPBP	7958954	TRRUST_from_CollecTRI
TBR1	RELN	10749215;19165920	TRRUST_from_CollecTRI
TBX20	FGF10	22303449	TRRUST_from_CollecTRI
TBX21	CCR4	14500650	TRRUST_from_CollecTRI
TBX21	IL13	18504404;19348920;23232398	TRRUST_from_CollecTRI
TBX21	NELFCD	21930963	TRRUST_from_CollecTRI
TBX21	PTGDR2	14500650	TRRUST_from_CollecTRI
TBX5	CDKN2A	20802524	TRRUST_from_CollecTRI
TBX5	ITGA9	23139255	TRRUST_from_CollecTRI
TBX5	MYH6	15735645	TRRUST_from_CollecTRI
TCF3	AICDA	16785535;18203819	TRRUST_from_CollecTRI
TCF3	BBC3	23684607	TRRUST_from_CollecTRI
TCF3	CDK6	21788410	TRRUST_from_CollecTRI
TCF3	IL5RA	19231596	TRRUST_from_CollecTRI
TCF3	MYC	21788410;22384858;22564737	TRRUST_from_CollecTRI
TCF3	RAG1	1714414;21655267	TRRUST_from_CollecTRI
TCF4	ABCB1	20459685	TRRUST_from_CollecTRI
TCF4	BCL2	23671559	TRRUST_from_CollecTRI
TCF4	BIRC5	19131553;19662654;19778454	TRRUST_from_CollecTRI
TCF4	CCND1	19662654;19778454;20459685	TRRUST_from_CollecTRI
TCF4	CD44	16311123	TRRUST_from_CollecTRI
TCF4	CLEC4C	20483924	TRRUST_from_CollecTRI
TCF4	CNTNAP2	22777675	TRRUST_from_CollecTRI
TCF4	DEFA5	19221600	TRRUST_from_CollecTRI
TCF4	DEFA6	19221600	TRRUST_from_CollecTRI
TCF4	FST	24667650	TRRUST_from_CollecTRI
TCF4	HECA	22100912	TRRUST_from_CollecTRI
TCF4	JUN	19671687	TRRUST_from_CollecTRI
TCF4	KLF4	18977346	TRRUST_from_CollecTRI
TCF4	LGR5	21436631	TRRUST_from_CollecTRI
TCF4	MITF	11382753;21519923	TRRUST_from_CollecTRI
TCF4	NOTUM	18429952	TRRUST_from_CollecTRI
TCF4	NRXN1	22777675	TRRUST_from_CollecTRI
TCF4	PLD1	20442281	TRRUST_from_CollecTRI
TCF4	PTEN	21132538	TRRUST_from_CollecTRI
TCF4	SKP2	19174556	TRRUST_from_CollecTRI
TCF4	VCAN	19269971	TRRUST_from_CollecTRI
TCF4	VEGFA	15940626;18952601	TRRUST_from_CollecTRI
TCF4	VIM	12750294	TRRUST_from_CollecTRI
TCF4	WNT4	21436631	TRRUST_from_CollecTRI
TCF7	SNAI2	20128911	TRRUST_from_CollecTRI
TCF7L2	ABCB1	10987283;12154096;15592430;20459685	TRRUST_from_CollecTRI
TCF7L2	BIRC5	12885482;20331626	TRRUST_from_CollecTRI
TCF7L2	CTNNB1	14706452;19347947;24214913;24317174	TRRUST_from_CollecTRI
TCF7L2	HECA	22100912	TRRUST_from_CollecTRI
TCF7L2	WWC1	24072042	TRRUST_from_CollecTRI
TCF7L2	PTGS2	11396184;12566320	TRRUST_from_CollecTRI
TCF7L2	SNAI2	19443654;20128911	TRRUST_from_CollecTRI
TCF7L2	STARD7	19679347;21622533	TRRUST_from_CollecTRI
TCF7L2	STAT3	18602747	TRRUST_from_CollecTRI
TEAD1	ATP6V0A2	15878913	TRRUST_from_CollecTRI
TEAD1	PAX3	21687713	TRRUST_from_CollecTRI
TEAD1	SRF	24344135	TRRUST_from_CollecTRI
TEF	DBP	8617210	TRRUST_from_CollecTRI
TEF	NPPB	15837525	TRRUST_from_CollecTRI
TFAP2A	ADRA1A	10520459	TRRUST_from_CollecTRI
TFAP2A	ADRA2B	15037199	TRRUST_from_CollecTRI
TFAP2A	CCNB1	7739559	TRRUST_from_CollecTRI
TFAP2A	CFTR	10652362	TRRUST_from_CollecTRI
TFAP2A	CGA	10648798;11014230	TRRUST_from_CollecTRI
TFAP2A	COL1A1	10775443	TRRUST_from_CollecTRI
TFAP2A	CRABP2	17187826	TRRUST_from_CollecTRI
TFAP2A	CRX	12408971	TRRUST_from_CollecTRI
TFAP2A	DCBLD2	20525283;22468095	TRRUST_from_CollecTRI
TFAP2A	GALNT3	10626815	TRRUST_from_CollecTRI
TFAP2A	GAST	2566164	TRRUST_from_CollecTRI
TFAP2A	GPX4	10428483	TRRUST_from_CollecTRI
TFAP2A	GUSB	15526106	TRRUST_from_CollecTRI
TFAP2A	HIP1	11517213	TRRUST_from_CollecTRI
TFAP2A	HTT	11483245	TRRUST_from_CollecTRI
TFAP2A	IMPDH2	7896827	TRRUST_from_CollecTRI
TFAP2A	KRT5	12024040	TRRUST_from_CollecTRI
TFAP2A	L1CAM	12077189	TRRUST_from_CollecTRI
TFAP2A	POLD2	10978529	TRRUST_from_CollecTRI
TFAP2A	PRKCA	12269829	TRRUST_from_CollecTRI
TFAP2A	PTGS2	16423197	TRRUST_from_CollecTRI
TFAP2A	SNAP91	14532018	TRRUST_from_CollecTRI
TFAP2A	SPRY2	14644509	TRRUST_from_CollecTRI
TFAP2A	SULT1E1	17187826	TRRUST_from_CollecTRI
TFAP2A	TIMP2	8810321	TRRUST_from_CollecTRI
TFAP2B	DRD1	10640692	TRRUST_from_CollecTRI
TFAP2C	CRABP2	17187826;8660922	TRRUST_from_CollecTRI
TFAP2C	MMP2	19853299	TRRUST_from_CollecTRI
TFAP2C	SULT1E1	17187826	TRRUST_from_CollecTRI
TFAP4	CLCN5	15086899	TRRUST_from_CollecTRI
TFAP4	MUC4	11418607	TRRUST_from_CollecTRI
TFCP2	A2M	10455131	TRRUST_from_CollecTRI
TFCP2	FGA	10455131	TRRUST_from_CollecTRI
TFCP2	GSK3B	16973241	TRRUST_from_CollecTRI
TFCP2	SPP1	20404171;21703197	TRRUST_from_CollecTRI
TFCP2	WT1	10455131	TRRUST_from_CollecTRI
TFDP1	CAV1	10684646	TRRUST_from_CollecTRI
TFDP1	CDK1	14618416	TRRUST_from_CollecTRI
TFDP1	RRM1	14618416	TRRUST_from_CollecTRI
TFDP1	TP53	8557038	TRRUST_from_CollecTRI
TFDP1	TYMS	14618416	TRRUST_from_CollecTRI
TFDP3	E2F1	17062573;23212661	TRRUST_from_CollecTRI
TFDP3	MAP1LC3B	22482402	TRRUST_from_CollecTRI
TFEB	TYR	10707962	TRRUST_from_CollecTRI
TFEB	TYRP1	10707962	TRRUST_from_CollecTRI
TGIF1	SERPINE1	19524896	TRRUST_from_CollecTRI
THRA	SERPINC1	8910619	TRRUST_from_CollecTRI
TLE3	RUNX1	19403666	TRRUST_from_CollecTRI
TLX1	NR4A3	15384172	TRRUST_from_CollecTRI
TOB1	IL2	11694881	TRRUST_from_CollecTRI
TP53	ALKBH2	20661249	TRRUST_from_CollecTRI
TP53	ANTXR1	11711532	TRRUST_from_CollecTRI
TP53	APCS	15378026	TRRUST_from_CollecTRI
TP53	ADGRB1	10945020;11875720;20351806	TRRUST_from_CollecTRI
TP53	CABLES1	11706030	TRRUST_from_CollecTRI
TP53	E2F3	20428827	TRRUST_from_CollecTRI
TP53	E2F7	22802528	TRRUST_from_CollecTRI
TP53	FGF2	10029407;8090761	TRRUST_from_CollecTRI
TP53	FOXM1	19749794;19806025;21518729	TRRUST_from_CollecTRI
TP53	FUS	12364590	TRRUST_from_CollecTRI
TP53	GLI2	18813803	TRRUST_from_CollecTRI
TP53	GML	10717525	TRRUST_from_CollecTRI
TP53	IPO7	22284678	TRRUST_from_CollecTRI
TP53	PLK3	16581545;21394211	TRRUST_from_CollecTRI
TP53	PTPA	10787423	TRRUST_from_CollecTRI
TP53	PRG3	12135761	TRRUST_from_CollecTRI
TP53	RAD51B	9878257	TRRUST_from_CollecTRI
TP53	REEP5	8557038	TRRUST_from_CollecTRI
TP53	SMAD3	21900401	TRRUST_from_CollecTRI
TP53	SSTR2	14695784	TRRUST_from_CollecTRI
TP53	TBXAS1	14586398	TRRUST_from_CollecTRI
TP53	TCF7L2	14990988	TRRUST_from_CollecTRI
TP53	TP53I3	10101800;10321740;12851404;14695213;15192123	TRRUST_from_CollecTRI
TP53	BLTP3A	18220474	TRRUST_from_CollecTRI
TP53BP1	BRCA1	15970701;21914189	TRRUST_from_CollecTRI
TP63	DDB2	17984111	TRRUST_from_CollecTRI
TP63	EVPL	15988020	TRRUST_from_CollecTRI
TP63	SMARCD3	15988020	TRRUST_from_CollecTRI
TP63	TCF4	22232078	TRRUST_from_CollecTRI
TP63	XPC	17984111	TRRUST_from_CollecTRI
TP73	CABLES1	11706030	TRRUST_from_CollecTRI
TRERF1	CCR7	17006331	TRRUST_from_CollecTRI
TRERF1	CD40	18652845	TRRUST_from_CollecTRI
TRERF1	CD80	18652845	TRRUST_from_CollecTRI
TRERF1	CD86	18652845	TRRUST_from_CollecTRI
TRERF1	LILRB1	18652845	TRRUST_from_CollecTRI
TRERF1	LILRB2	18652845	TRRUST_from_CollecTRI
TRERF1	LILRB4	18652845	TRRUST_from_CollecTRI
TRIB3	SMAD3	21896644	TRRUST_from_CollecTRI
TRIM22	NFKB1	21651891	TRRUST_from_CollecTRI
TRIM22	RELA	21651891	TRRUST_from_CollecTRI
TRIM25	RIGI	21292167	TRRUST_from_CollecTRI
TRIM28	E2F3	23060449	TRRUST_from_CollecTRI
TRIM28	E2F4	23060449	TRRUST_from_CollecTRI
TRIM28	ID1	21876767	TRRUST_from_CollecTRI
TRIM28	ZNF274	21170338	TRRUST_from_CollecTRI
TRRAP	CCND2	11511535	TRRUST_from_CollecTRI
TRRAP	MITF	15581068	TRRUST_from_CollecTRI
TSG101	CEP55	18948538	TRRUST_from_CollecTRI
TSG101	EGFR	19154774	TRRUST_from_CollecTRI
TSG101	REG4	18643869	TRRUST_from_CollecTRI
TWIST1	AKR1C2	19051271	TRRUST_from_CollecTRI
TWIST1	ATM	19051271	TRRUST_from_CollecTRI
TWIST1	BCL2	23095743	TRRUST_from_CollecTRI
TWIST1	CD44	17487558	TRRUST_from_CollecTRI
TWIST1	CDH2	21796367	TRRUST_from_CollecTRI
TWIST1	CTPS1	19051271	TRRUST_from_CollecTRI
TWIST1	DNM3	18033314	TRRUST_from_CollecTRI
TWIST1	ERBB3	19051271	TRRUST_from_CollecTRI
TWIST1	F2R	19051271	TRRUST_from_CollecTRI
TWIST1	FN1	20646316	TRRUST_from_CollecTRI
TWIST1	FOS	19051271	TRRUST_from_CollecTRI
TWIST1	GDF15	19051271	TRRUST_from_CollecTRI
TWIST1	ICAM1	17487558	TRRUST_from_CollecTRI
TWIST1	ILK	19051271	TRRUST_from_CollecTRI
TWIST1	ITGB1	17487558	TRRUST_from_CollecTRI
TWIST1	MAPK1	23222305	TRRUST_from_CollecTRI
TWIST1	MAPK3	23222305	TRRUST_from_CollecTRI
TWIST1	MMP1	23222305	TRRUST_from_CollecTRI
TWIST1	MMP2	18353304;20646316	TRRUST_from_CollecTRI
TWIST1	MYB	19051271	TRRUST_from_CollecTRI
TWIST1	NF1	19051271	TRRUST_from_CollecTRI
TWIST1	NR2F1	19051271	TRRUST_from_CollecTRI
TWIST1	PFDN4	19051271	TRRUST_from_CollecTRI
TWIST1	RAP1A	19051271	TRRUST_from_CollecTRI
