source_genesymbol	target_genesymbol	consensus_stimulation	consensus_inhibition	references	sources
TP53	EIF2AK2	0	0	10082513;19416861	ExTRI
PITX1	LHB	0	0	10082522;11328855;11518799;12011080;12063185;12598657;12700240;15469090;16055746;16087728;17337323;19106114;21571865;22865884;9514159	ExTRI;NTNU.Curated;SIGNOR;TRRUST
EGR1	LHB	0	0	10082522;10318795;10319325;10935547;11328855;11518799;11682622;11781541;11818496;12039067;14681221;14766009;15469090;16087728;16627584;17244763;17299135;17337323;17823254;19095772;19106114;19616057;20149866;22508984;22851703;22865884;24248462;8703054;9440815;9453238;9614069;9892016	ExTRI;NTNU.Curated;Pavlidis2021;SIGNOR;TFactS;TRRUST
EGR1	PRKCG	0	0	10082522;11149911;11336542;12694408;18062928;23091071	ExTRI
SP1	MYOD1	0	0	10082523;1662816;8120060	ExTRI;TFactS
MYOD1	SP1	0	0	10082523;1662816;9148896	ExTRI;SIGNOR
FOS	TP53	0	0	10348347	ExTRI;NTNU.Curated;TRRUST
TP53	FOS	0	0	10082525;10214938;10529369;12173040;1508692;17174366;1946467;8604347;8649776;8668332	ExTRI;GEREDB;NTNU.Curated
ETS2	BCL2L1	0	0	10082528;19179380;19411629	ExTRI;NTNU.Curated
GTF2I	FOS	0	0	10082538;11313464;11934902;12082086;16611241;19097122;9584171	ExTRI;SIGNOR
GTF2I	SMARCA4	0	0	10082538	ExTRI
SP1	FOS	0	0	10082538;17626239;9528985	DoRothEA-A;ExTRI;HTRI;TFactS;TRRUST
YY1	FOS	0	0	10082538;1508214;7494244;7565750;7769693;8276234;8423791	ExTRI;GEREDB;NTNU.Curated;Pavlidis2021
SP1	EGR1	0	0	10082539;10826704;12637574;18044710;20427719;8349585;9282327	ExTRI;NTNU.Curated;TRRUST
EGR1	SP1	0	0	11956220;12637574;18044710;20204374;20427719	ExTRI;GEREDB
NR2F1	EGR1	0	0	10082539;24227652	ExTRI;GEREDB
BTAF1	TBP	0	0	14988402;15509807;16858867;20627952	TRRUST
TBP	BTAF1	0	0	10082549	ExTRI
TBP	DNAH8	0	0	10082549	ExTRI
